,ds
1497,2016-09-28
1498,2016-09-29
1499,2016-09-30
1500,2016-10-03
1501,2016-10-04
1502,2016-10-05
1503,2016-10-06
1504,2016-10-07
1505,2016-10-10
1506,2016-10-11
1507,2016-10-12
1508,2016-10-13
1509,2016-10-14
1510,2016-10-17
1511,2016-10-18
1512,2016-10-19
1513,2016-10-20
1514,2016-10-21
1515,2016-10-24
1516,2016-10-25
1517,2016-10-26
1518,2016-10-27
1519,2016-10-28
1520,2016-10-31
1521,2016-11-01
1522,2016-11-02
1523,2016-11-03
1524,2016-11-04
1525,2016-11-07
1526,2016-11-08
1527,2016-11-09
1528,2016-11-10
1529,2016-11-11
1530,2016-11-14
1531,2016-11-15
1532,2016-11-16
1533,2016-11-17
1534,2016-11-18
1535,2016-11-21
1536,2016-11-22
1537,2016-11-23
1538,2016-11-25
1539,2016-11-28
1540,2016-11-29
1541,2016-11-30
1542,2016-12-01
1543,2016-12-02
1544,2016-12-05
1545,2016-12-06
1546,2016-12-07
1547,2016-12-08
1548,2016-12-09
1549,2016-12-12
1550,2016-12-13
1551,2016-12-14
1552,2016-12-15
1553,2016-12-16
1554,2016-12-19
1555,2016-12-20
1556,2016-12-21
1557,2016-12-22
1558,2016-12-23
1559,2016-12-27
1560,2016-12-28
1561,2016-12-29
1562,2016-12-30
1563,2017-01-03
1564,2017-01-04
1565,2017-01-05
1566,2017-01-06
1567,2017-01-09
1568,2017-01-10
1569,2017-01-11
1570,2017-01-12
1571,2017-01-13
1572,2017-01-17
1573,2017-01-18
1574,2017-01-19
1575,2017-01-20
1576,2017-01-23
1577,2017-01-24
1578,2017-01-25
1579,2017-01-26
1580,2017-01-27
1581,2017-01-30
1582,2017-01-31
1583,2017-02-01
1584,2017-02-02
1585,2017-02-03
1586,2017-02-06
1587,2017-02-07
1588,2017-02-08
1589,2017-02-09
1590,2017-02-10
1591,2017-02-13
1592,2017-02-14
1593,2017-02-15
1594,2017-02-16
1595,2017-02-17
1596,2017-02-21
1597,2017-02-22
1598,2017-02-23
1599,2017-02-24
1600,2017-02-27
1601,2017-02-28
1602,2017-03-01
1603,2017-03-02
1604,2017-03-03
1605,2017-03-06
1606,2017-03-07
1607,2017-03-08
1608,2017-03-09
1609,2017-03-10
1610,2017-03-13
1611,2017-03-14
1612,2017-03-15
1613,2017-03-16
1614,2017-03-17
1615,2017-03-20
1616,2017-03-21
1617,2017-03-22
1618,2017-03-23
1619,2017-03-24
1620,2017-03-27
1621,2017-03-28
1622,2017-03-29
1623,2017-03-30
1624,2017-03-31
1625,2017-04-03
1626,2017-04-04
1627,2017-04-05
1628,2017-04-06
1629,2017-04-07
1630,2017-04-10
1631,2017-04-11
1632,2017-04-12
1633,2017-04-13
1634,2017-04-17
1635,2017-04-18
1636,2017-04-19
1637,2017-04-20
1638,2017-04-21
1639,2017-04-24
1640,2017-04-25
1641,2017-04-26
1642,2017-04-27
1643,2017-04-28
1644,2017-05-01
1645,2017-05-02
1646,2017-05-03
1647,2017-05-04
1648,2017-05-05
1649,2017-05-08
1650,2017-05-09
1651,2017-05-10
1652,2017-05-11
1653,2017-05-12
1654,2017-05-15
1655,2017-05-16
1656,2017-05-17
1657,2017-05-18
1658,2017-05-19
1659,2017-05-22
1660,2017-05-23
1661,2017-05-24
1662,2017-05-25
1663,2017-05-26
1664,2017-05-30
1665,2017-05-31
1666,2017-06-01
1667,2017-06-02
1668,2017-06-05
1669,2017-06-06
1670,2017-06-07
1671,2017-06-08
1672,2017-06-09
1673,2017-06-12
1674,2017-06-13
1675,2017-06-14
1676,2017-06-15
1677,2017-06-16
1678,2017-06-19
1679,2017-06-20
1680,2017-06-21
1681,2017-06-22
1682,2017-06-23
1683,2017-06-26
1684,2017-06-27
1685,2017-06-28
1686,2017-06-29
1687,2017-06-30
1688,2017-07-03
1689,2017-07-05
1690,2017-07-06
1691,2017-07-07
1692,2017-07-10
1693,2017-07-11
1694,2017-07-12
1695,2017-07-13
1696,2017-07-14
1697,2017-07-17
1698,2017-07-18
1699,2017-07-19
1700,2017-07-20
1701,2017-07-21
1702,2017-07-24
1703,2017-07-25
1704,2017-07-26
1705,2017-07-27
1706,2017-07-28
1707,2017-07-31
1708,2017-08-01
1709,2017-08-02
1710,2017-08-03
1711,2017-08-04
1712,2017-08-07
1713,2017-08-08
1714,2017-08-09
1715,2017-08-10
1716,2017-08-11
1717,2017-08-14
1718,2017-08-15
1719,2017-08-16
1720,2017-08-17
1721,2017-08-18
1722,2017-08-21
1723,2017-08-22
1724,2017-08-23
1725,2017-08-24
1726,2017-08-25
1727,2017-08-28
1728,2017-08-29
1729,2017-08-30
1730,2017-08-31
1731,2017-09-01
1732,2017-09-05
1733,2017-09-06
1734,2017-09-07
1735,2017-09-08
1736,2017-09-11
1737,2017-09-12
1738,2017-09-13
1739,2017-09-14
1740,2017-09-15
1741,2017-09-18
1742,2017-09-19
1743,2017-09-20
1744,2017-09-21
1745,2017-09-22
1746,2017-09-25
1747,2017-09-26
1748,2017-09-27
1749,2017-09-28
1750,2017-09-29
1751,2017-10-02
1752,2017-10-03
1753,2017-10-04
1754,2017-10-05
1755,2017-10-06
1756,2017-10-09
1757,2017-10-10
1758,2017-10-11
1759,2017-10-12
1760,2017-10-13
1761,2017-10-16
1762,2017-10-17
1763,2017-10-18
1764,2017-10-19
1765,2017-10-20
1766,2017-10-23
1767,2017-10-24
1768,2017-10-25
1769,2017-10-26
1770,2017-10-27
1771,2017-10-30
1772,2017-10-31
1773,2017-11-01
1774,2017-11-02
1775,2017-11-03
1776,2017-11-06
1777,2017-11-07
1778,2017-11-08
1779,2017-11-09
1780,2017-11-10
1781,2017-11-13
1782,2017-11-14
1783,2017-11-15
1784,2017-11-16
1785,2017-11-17
1786,2017-11-20
1787,2017-11-21
1788,2017-11-22
1789,2017-11-24
1790,2017-11-27
1791,2017-11-28
1792,2017-11-29
1793,2017-11-30
1794,2017-12-01
1795,2017-12-04
1796,2017-12-05
1797,2017-12-06
1798,2017-12-07
1799,2017-12-08
1800,2017-12-11
1801,2017-12-12
1802,2017-12-13
1803,2017-12-14
1804,2017-12-15
1805,2017-12-18
1806,2017-12-19
1807,2017-12-20
1808,2017-12-21
1809,2017-12-22
1810,2017-12-26
1811,2017-12-27
1812,2017-12-28
1813,2017-12-29
1814,2018-01-02
1815,2018-01-03
1816,2018-01-04
1817,2018-01-05
1818,2018-01-08
1819,2018-01-09
1820,2018-01-10
1821,2018-01-11
1822,2018-01-12
1823,2018-01-16
1824,2018-01-17
1825,2018-01-18
1826,2018-01-19
1827,2018-01-22
1828,2018-01-23
1829,2018-01-24
1830,2018-01-25
1831,2018-01-26
1832,2018-01-29
1833,2018-01-30
1834,2018-01-31
1835,2018-02-01
1836,2018-02-02
1837,2018-02-05
1838,2018-02-06
1839,2018-02-07
1840,2018-02-08
1841,2018-02-09
1842,2018-02-12
1843,2018-02-13
1844,2018-02-14
1845,2018-02-15
1846,2018-02-16
1847,2018-02-20
1848,2018-02-21
1849,2018-02-22
1850,2018-02-23
1851,2018-02-26
1852,2018-02-27
1853,2018-02-28
1854,2018-03-01
1855,2018-03-02
1856,2018-03-05
1857,2018-03-06
1858,2018-03-07
1859,2018-03-08
1860,2018-03-09
1861,2018-03-12
1862,2018-03-13
1863,2018-03-14
1864,2018-03-15
1865,2018-03-16
1866,2018-03-19
1867,2018-03-20
1868,2018-03-21
1869,2018-03-22
1870,2018-03-23
1871,2018-03-26
1872,2018-03-27
1873,2018-03-28
1874,2018-03-29
1875,2018-04-02
1876,2018-04-03
1877,2018-04-04
1878,2018-04-05
1879,2018-04-06
1880,2018-04-09
1881,2018-04-10
1882,2018-04-11
1883,2018-04-12
1884,2018-04-13
1885,2018-04-16
1886,2018-04-17
1887,2018-04-18
1888,2018-04-19
1889,2018-04-20
1890,2018-04-23
1891,2018-04-24
1892,2018-04-25
1893,2018-04-26
1894,2018-04-27
1895,2018-04-30
1896,2018-05-01
1897,2018-05-02
1898,2018-05-03
1899,2018-05-04
1900,2018-05-07
1901,2018-05-08
1902,2018-05-09
1903,2018-05-10
1904,2018-05-11
1905,2018-05-14
1906,2018-05-15
1907,2018-05-16
1908,2018-05-17
1909,2018-05-18
1910,2018-05-21
1911,2018-05-22
1912,2018-05-23
1913,2018-05-24
1914,2018-05-25
1915,2018-05-29
1916,2018-05-30
1917,2018-05-31
1918,2018-06-01
1919,2018-06-04
1920,2018-06-05
1921,2018-06-06
1922,2018-06-07
1923,2018-06-08
1924,2018-06-11
1925,2018-06-12
1926,2018-06-13
1927,2018-06-14
1928,2018-06-15
1929,2018-06-18
1930,2018-06-19
1931,2018-06-20
1932,2018-06-21
1933,2018-06-22
1934,2018-06-25
1935,2018-06-26
1936,2018-06-27
1937,2018-06-28
1938,2018-06-29
1939,2018-07-02
1940,2018-07-03
1941,2018-07-05
1942,2018-07-06
1943,2018-07-09
1944,2018-07-10
1945,2018-07-11
1946,2018-07-12
1947,2018-07-13
1948,2018-07-16
1949,2018-07-17
1950,2018-07-18
1951,2018-07-19
1952,2018-07-20
1953,2018-07-23
1954,2018-07-24
1955,2018-07-25
1956,2018-07-26
1957,2018-07-27
1958,2018-07-30
1959,2018-07-31
1960,2018-08-01
1961,2018-08-02
1962,2018-08-03
1963,2018-08-06
1964,2018-08-07
1965,2018-08-08
1966,2018-08-09
1967,2018-08-10
1968,2018-08-13
1969,2018-08-14
1970,2018-08-15
1971,2018-08-16
1972,2018-08-17
1973,2018-08-20
1974,2018-08-21
1975,2018-08-22
1976,2018-08-23
1977,2018-08-24
1978,2018-08-27
1979,2018-08-28
1980,2018-08-29
1981,2018-08-30
1982,2018-08-31
1983,2018-09-04
1984,2018-09-05
1985,2018-09-06
1986,2018-09-07
1987,2018-09-10
1988,2018-09-11
1989,2018-09-12
1990,2018-09-13
1991,2018-09-14
1992,2018-09-17
1993,2018-09-18
1994,2018-09-19
1995,2018-09-20
1996,2018-09-21
1997,2018-09-24
1998,2018-09-25
1999,2018-09-26
2000,2018-09-27
2001,2018-09-28
2002,2018-10-01
2003,2018-10-02
2004,2018-10-03
2005,2018-10-04
2006,2018-10-05
2007,2018-10-08
2008,2018-10-09
2009,2018-10-10
2010,2018-10-11
2011,2018-10-12
2012,2018-10-15
2013,2018-10-16
2014,2018-10-17
2015,2018-10-18
2016,2018-10-19
2017,2018-10-22
2018,2018-10-23
2019,2018-10-24
2020,2018-10-25
2021,2018-10-26
2022,2018-10-29
2023,2018-10-30
2024,2018-10-31
2025,2018-11-01
2026,2018-11-02
2027,2018-11-05
2028,2018-11-06
2029,2018-11-07
2030,2018-11-08
2031,2018-11-09
2032,2018-11-12
2033,2018-11-13
2034,2018-11-14
2035,2018-11-15
2036,2018-11-16
2037,2018-11-19
2038,2018-11-20
2039,2018-11-21
2040,2018-11-23
2041,2018-11-26
2042,2018-11-27
2043,2018-11-28
2044,2018-11-29
2045,2018-11-30
2046,2018-12-03
2047,2018-12-04
2048,2018-12-06
2049,2018-12-07
2050,2018-12-10
2051,2018-12-11
2052,2018-12-12
2053,2018-12-13
2054,2018-12-14
2055,2018-12-17
2056,2018-12-18
2057,2018-12-19
2058,2018-12-20
2059,2018-12-21
2060,2018-12-24
2061,2018-12-26
2062,2018-12-27
2063,2018-12-28
2064,2018-12-31
2065,2019-01-02
2066,2019-01-03
2067,2019-01-04
2068,2019-01-07
2069,2019-01-08
2070,2019-01-09
2071,2019-01-10
2072,2019-01-11
2073,2019-01-14
2074,2019-01-15
2075,2019-01-16
2076,2019-01-17
2077,2019-01-18
2078,2019-01-22
2079,2019-01-23
2080,2019-01-24
2081,2019-01-25
2082,2019-01-28
2083,2019-01-29
2084,2019-01-30
2085,2019-01-31
2086,2019-02-01
2087,2019-02-04
2088,2019-02-05
2089,2019-02-06
2090,2019-02-07
2091,2019-02-08
2092,2019-02-11
2093,2019-02-12
2094,2019-02-13
2095,2019-02-14
2096,2019-02-15
2097,2019-02-19
2098,2019-02-20
2099,2019-02-21
2100,2019-02-22
2101,2019-02-25
2102,2019-02-26
2103,2019-02-27
2104,2019-02-28
2105,2019-03-01
2106,2019-03-04
2107,2019-03-05
2108,2019-03-06
2109,2019-03-07
2110,2019-03-08
2111,2019-03-11
2112,2019-03-12
2113,2019-03-13
2114,2019-03-14
2115,2019-03-15
2116,2019-03-18
2117,2019-03-19
2118,2019-03-20
2119,2019-03-21
2120,2019-03-22
2121,2019-03-25
2122,2019-03-26
2123,2019-03-27
2124,2019-03-28
2125,2019-03-29
2126,2019-04-01
2127,2019-04-02
2128,2019-04-03
2129,2019-04-04
2130,2019-04-05
2131,2019-04-08
2132,2019-04-09
2133,2019-04-10
2134,2019-04-11
2135,2019-04-12
2136,2019-04-15
2137,2019-04-16
2138,2019-04-17
2139,2019-04-18
2140,2019-04-22
2141,2019-04-23
2142,2019-04-24
2143,2019-04-25
2144,2019-04-26
2145,2019-04-29
2146,2019-04-30
2147,2019-05-01
2148,2019-05-02
2149,2019-05-03
2150,2019-05-06
2151,2019-05-07
2152,2019-05-08
2153,2019-05-09
2154,2019-05-10
2155,2019-05-13
2156,2019-05-14
2157,2019-05-15
2158,2019-05-16
2159,2019-05-17
2160,2019-05-20
2161,2019-05-21
2162,2019-05-22
2163,2019-05-23
2164,2019-05-24
2165,2019-05-28
2166,2019-05-29
2167,2019-05-30
2168,2019-05-31
2169,2019-06-03
2170,2019-06-04
2171,2019-06-05
2172,2019-06-06
2173,2019-06-07
2174,2019-06-10
2175,2019-06-11
2176,2019-06-12
2177,2019-06-13
2178,2019-06-14
2179,2019-06-17
2180,2019-06-18
2181,2019-06-19
2182,2019-06-20
2183,2019-06-21
2184,2019-06-24
2185,2019-06-25
2186,2019-06-26
2187,2019-06-27
2188,2019-06-28
2189,2019-07-01
2190,2019-07-02
2191,2019-07-03
2192,2019-07-05
2193,2019-07-08
2194,2019-07-09
2195,2019-07-10
2196,2019-07-11
2197,2019-07-12
2198,2019-07-15
2199,2019-07-16
2200,2019-07-17
2201,2019-07-18
2202,2019-07-19
2203,2019-07-22
2204,2019-07-23
2205,2019-07-24
2206,2019-07-25
2207,2019-07-26
2208,2019-07-29
2209,2019-07-30
2210,2019-07-31
2211,2019-08-01
2212,2019-08-02
2213,2019-08-05
2214,2019-08-06
2215,2019-08-07
2216,2019-08-08
2217,2019-08-09
2218,2019-08-12
2219,2019-08-13
2220,2019-08-14
2221,2019-08-15
2222,2019-08-16
2223,2019-08-19
2224,2019-08-20
2225,2019-08-21
2226,2019-08-22
2227,2019-08-23
2228,2019-08-26
2229,2019-08-27
2230,2019-08-28
2231,2019-08-29
2232,2019-08-30
2233,2019-09-03
2234,2019-09-04
2235,2019-09-05
2236,2019-09-06
2237,2019-09-09
2238,2019-09-10
2239,2019-09-11
2240,2019-09-12
2241,2019-09-13
2242,2019-09-16
2243,2019-09-17
2244,2019-09-18
2245,2019-09-19
2246,2019-09-20
2247,2019-09-23
2248,2019-09-24
2249,2019-09-25
2250,2019-09-26
2251,2019-09-27
2252,2019-09-30
2253,2019-10-01
2254,2019-10-02
2255,2019-10-03
2256,2019-10-04
2257,2019-10-07
2258,2019-10-08
2259,2019-10-09
2260,2019-10-10
2261,2019-10-11
2262,2019-10-14
2263,2019-10-15
2264,2019-10-16
2265,2019-10-17
2266,2019-10-18
2267,2019-10-21
2268,2019-10-22
2269,2019-10-23
2270,2019-10-24
2271,2019-10-25
2272,2019-10-28
2273,2019-10-29
2274,2019-10-30
2275,2019-10-31
2276,2019-11-01
2277,2019-11-04
2278,2019-11-05
2279,2019-11-06
2280,2019-11-07
2281,2019-11-08
2282,2019-11-11
2283,2019-11-12
2284,2019-11-13
2285,2019-11-14
2286,2019-11-15
2287,2019-11-18
2288,2019-11-19
2289,2019-11-20
2290,2019-11-21
2291,2019-11-22
2292,2019-11-25
2293,2019-11-26
2294,2019-11-27
2295,2019-11-29
2296,2019-12-02
2297,2019-12-03
2298,2019-12-04
2299,2019-12-05
2300,2019-12-06
2301,2019-12-09
2302,2019-12-10
2303,2019-12-11
2304,2019-12-12
2305,2019-12-13
2306,2019-12-16
2307,2019-12-17
2308,2019-12-18
2309,2019-12-19
2310,2019-12-20
2311,2019-12-23
2312,2019-12-24
2313,2019-12-26
2314,2019-12-27
2315,2019-12-30
2316,2019-12-31
2317,2020-01-02
2318,2020-01-03
2319,2020-01-06
2320,2020-01-07
2321,2020-01-08
2322,2020-01-09
2323,2020-01-10
2324,2020-01-13
2325,2020-01-14
2326,2020-01-15
2327,2020-01-16
2328,2020-01-17
2329,2020-01-21
2330,2020-01-22
2331,2020-01-23
2332,2020-01-24
2333,2020-01-27
2334,2020-01-28
2335,2020-01-29
2336,2020-01-30
2337,2020-01-31
2338,2020-02-03
2339,2020-02-04
2340,2020-02-05
2341,2020-02-06
2342,2020-02-07
2343,2020-02-10
2344,2020-02-11
2345,2020-02-12
2346,2020-02-13
2347,2020-02-14
2348,2020-02-18
2349,2020-02-19
2350,2020-02-20
2351,2020-02-21
2352,2020-02-24
2353,2020-02-25
2354,2020-02-26
2355,2020-02-27
2356,2020-02-28
2357,2020-03-02
2358,2020-03-03
2359,2020-03-04
2360,2020-03-05
2361,2020-03-06
2362,2020-03-09
2363,2020-03-10
2364,2020-03-11
2365,2020-03-12
2366,2020-03-13
2367,2020-03-16
2368,2020-03-17
2369,2020-03-18
2370,2020-03-19
2371,2020-03-20
2372,2020-03-23
2373,2020-03-24
2374,2020-03-25
2375,2020-03-26
2376,2020-03-27
2377,2020-03-30
2378,2020-03-31
2379,2020-04-01
2380,2020-04-02
2381,2020-04-03
2382,2020-04-06
2383,2020-04-07
2384,2020-04-08
2385,2020-04-09
2386,2020-04-13
2387,2020-04-14
2388,2020-04-15
2389,2020-04-16
2390,2020-04-17
2391,2020-04-20
2392,2020-04-21
2393,2020-04-22
2394,2020-04-23
2395,2020-04-24
2396,2020-04-27
2397,2020-04-28
2398,2020-04-29
2399,2020-04-30
2400,2020-05-01
2401,2020-05-04
2402,2020-05-05
2403,2020-05-06
2404,2020-05-07
2405,2020-05-08
2406,2020-05-11
2407,2020-05-12
2408,2020-05-13
2409,2020-05-14
2410,2020-05-15
2411,2020-05-18
2412,2020-05-19
2413,2020-05-20
2414,2020-05-21
2415,2020-05-22
2416,2020-05-26
2417,2020-05-27
2418,2020-05-28
2419,2020-05-29
2420,2020-06-01
2421,2020-06-02
2422,2020-06-03
2423,2020-06-04
2424,2020-06-05
2425,2020-06-08
2426,2020-06-09
2427,2020-06-10
2428,2020-06-11
2429,2020-06-12
2430,2020-06-15
2431,2020-06-16
2432,2020-06-17
2433,2020-06-18
2434,2020-06-19
2435,2020-06-22
2436,2020-06-23
2437,2020-06-24
2438,2020-06-25
2439,2020-06-26
2440,2020-06-29
2441,2020-06-30
2442,2020-07-01
2443,2020-07-02
2444,2020-07-06
2445,2020-07-07
2446,2020-07-08
2447,2020-07-09
2448,2020-07-10
2449,2020-07-13
2450,2020-07-14
2451,2020-07-15
2452,2020-07-16
2453,2020-07-17
2454,2020-07-20
2455,2020-07-21
2456,2020-07-22
2457,2020-07-23
2458,2020-07-24
2459,2020-07-27
2460,2020-07-28
2461,2020-07-29
2462,2020-07-30
2463,2020-07-31
2464,2020-08-03
2465,2020-08-04
2466,2020-08-05
2467,2020-08-06
2468,2020-08-07
2469,2020-08-10
2470,2020-08-11
2471,2020-08-12
2472,2020-08-13
2473,2020-08-14
2474,2020-08-17
2475,2020-08-18
2476,2020-08-19
2477,2020-08-20
2478,2020-08-21
2479,2020-08-24
2480,2020-08-25
2481,2020-08-26
2482,2020-08-27
2483,2020-08-28
2484,2020-08-31
2485,2020-09-01
2486,2020-09-02
2487,2020-09-03
2488,2020-09-04
2489,2020-09-08
2490,2020-09-09
2491,2020-09-10
2492,2020-09-11
2493,2020-09-14
2494,2020-09-15
2495,2020-09-16
2496,2020-09-17
2497,2020-09-18
2498,2020-09-21
2499,2020-09-22
2500,2020-09-23
2501,2020-09-24
2502,2020-09-25
2503,2020-09-28
2504,2020-09-29
2505,2020-09-30
2506,2020-10-01
2507,2020-10-02
2508,2020-10-05
2509,2020-10-06
2510,2020-10-07
2511,2020-10-08
2512,2020-10-09
2513,2020-10-12
2514,2020-10-13
2515,2020-10-14
2516,2020-10-15
2517,2020-10-16
2518,2020-10-17
2519,2020-10-18
2520,2020-10-19
2521,2020-10-20
2522,2020-10-21
2523,2020-10-22
2524,2020-10-23
2525,2020-10-24
2526,2020-10-25
2527,2020-10-26
2528,2020-10-27
2529,2020-10-28
2530,2020-10-29
2531,2020-10-30
2532,2020-10-31
2533,2020-11-01
2534,2020-11-02
2535,2020-11-03
2536,2020-11-04
2537,2020-11-05
2538,2020-11-06
2539,2020-11-07
2540,2020-11-08
2541,2020-11-09
2542,2020-11-10
2543,2020-11-11
2544,2020-11-12
2545,2020-11-13
2546,2020-11-14
2547,2020-11-15
2548,2020-11-16
2549,2020-11-17
2550,2020-11-18
2551,2020-11-19
2552,2020-11-20
2553,2020-11-21
2554,2020-11-22
2555,2020-11-23
2556,2020-11-24
2557,2020-11-25
2558,2020-11-26
2559,2020-11-27
2560,2020-11-28
2561,2020-11-29
2562,2020-11-30
2563,2020-12-01
2564,2020-12-02
2565,2020-12-03
2566,2020-12-04
2567,2020-12-05
2568,2020-12-06
2569,2020-12-07
2570,2020-12-08
2571,2020-12-09
2572,2020-12-10
2573,2020-12-11
2574,2020-12-12
2575,2020-12-13
2576,2020-12-14
2577,2020-12-15
2578,2020-12-16
2579,2020-12-17
2580,2020-12-18
2581,2020-12-19
2582,2020-12-20
2583,2020-12-21
2584,2020-12-22
2585,2020-12-23
2586,2020-12-24
2587,2020-12-25
2588,2020-12-26
2589,2020-12-27
2590,2020-12-28
2591,2020-12-29
2592,2020-12-30
2593,2020-12-31
2594,2021-01-01
2595,2021-01-02
2596,2021-01-03
2597,2021-01-04
2598,2021-01-05
2599,2021-01-06
2600,2021-01-07
2601,2021-01-08
2602,2021-01-09
2603,2021-01-10
2604,2021-01-11
2605,2021-01-12
2606,2021-01-13
2607,2021-01-14
2608,2021-01-15
2609,2021-01-16
2610,2021-01-17
2611,2021-01-18
2612,2021-01-19
2613,2021-01-20
2614,2021-01-21
2615,2021-01-22
2616,2021-01-23
2617,2021-01-24
2618,2021-01-25
2619,2021-01-26
2620,2021-01-27
2621,2021-01-28
2622,2021-01-29
2623,2021-01-30
2624,2021-01-31
2625,2021-02-01
2626,2021-02-02
2627,2021-02-03
2628,2021-02-04
2629,2021-02-05
2630,2021-02-06
2631,2021-02-07
2632,2021-02-08
2633,2021-02-09
2634,2021-02-10
2635,2021-02-11
2636,2021-02-12
2637,2021-02-13
2638,2021-02-14
2639,2021-02-15
2640,2021-02-16
2641,2021-02-17
2642,2021-02-18
2643,2021-02-19
2644,2021-02-20
2645,2021-02-21
2646,2021-02-22
2647,2021-02-23
2648,2021-02-24
2649,2021-02-25
2650,2021-02-26
2651,2021-02-27
2652,2021-02-28
2653,2021-03-01
2654,2021-03-02
2655,2021-03-03
2656,2021-03-04
2657,2021-03-05
2658,2021-03-06
2659,2021-03-07
2660,2021-03-08
2661,2021-03-09
2662,2021-03-10
2663,2021-03-11
2664,2021-03-12
2665,2021-03-13
2666,2021-03-14
2667,2021-03-15
2668,2021-03-16
2669,2021-03-17
2670,2021-03-18
2671,2021-03-19
2672,2021-03-20
2673,2021-03-21
2674,2021-03-22
2675,2021-03-23
2676,2021-03-24
2677,2021-03-25
2678,2021-03-26
2679,2021-03-27
2680,2021-03-28
2681,2021-03-29
2682,2021-03-30
2683,2021-03-31
2684,2021-04-01
2685,2021-04-02
2686,2021-04-03
2687,2021-04-04
2688,2021-04-05
2689,2021-04-06
2690,2021-04-07
2691,2021-04-08
2692,2021-04-09
2693,2021-04-10
2694,2021-04-11
2695,2021-04-12
2696,2021-04-13
2697,2021-04-14
2698,2021-04-15
2699,2021-04-16
2700,2021-04-17
2701,2021-04-18
2702,2021-04-19
2703,2021-04-20
2704,2021-04-21
2705,2021-04-22
2706,2021-04-23
2707,2021-04-24
2708,2021-04-25
2709,2021-04-26
2710,2021-04-27
2711,2021-04-28
2712,2021-04-29
2713,2021-04-30
2714,2021-05-01
2715,2021-05-02
2716,2021-05-03
2717,2021-05-04
2718,2021-05-05
2719,2021-05-06
2720,2021-05-07
2721,2021-05-08
2722,2021-05-09
2723,2021-05-10
2724,2021-05-11
2725,2021-05-12
2726,2021-05-13
2727,2021-05-14
2728,2021-05-15
2729,2021-05-16
2730,2021-05-17
2731,2021-05-18
2732,2021-05-19
2733,2021-05-20
2734,2021-05-21
2735,2021-05-22
2736,2021-05-23
2737,2021-05-24
2738,2021-05-25
2739,2021-05-26
2740,2021-05-27
2741,2021-05-28
2742,2021-05-29
2743,2021-05-30
2744,2021-05-31
2745,2021-06-01
2746,2021-06-02
2747,2021-06-03
2748,2021-06-04
2749,2021-06-05
2750,2021-06-06
2751,2021-06-07
2752,2021-06-08
2753,2021-06-09
2754,2021-06-10
2755,2021-06-11
2756,2021-06-12
2757,2021-06-13
2758,2021-06-14
2759,2021-06-15
2760,2021-06-16
2761,2021-06-17
2762,2021-06-18
2763,2021-06-19
2764,2021-06-20
2765,2021-06-21
2766,2021-06-22
2767,2021-06-23
2768,2021-06-24
2769,2021-06-25
2770,2021-06-26
2771,2021-06-27
2772,2021-06-28
2773,2021-06-29
2774,2021-06-30
2775,2021-07-01
2776,2021-07-02
2777,2021-07-03
2778,2021-07-04
2779,2021-07-05
2780,2021-07-06
2781,2021-07-07
2782,2021-07-08
2783,2021-07-09
2784,2021-07-10
2785,2021-07-11
2786,2021-07-12
2787,2021-07-13
2788,2021-07-14
2789,2021-07-15
2790,2021-07-16
2791,2021-07-17
2792,2021-07-18
2793,2021-07-19
2794,2021-07-20
2795,2021-07-21
2796,2021-07-22
2797,2021-07-23
2798,2021-07-24
2799,2021-07-25
2800,2021-07-26
2801,2021-07-27
2802,2021-07-28
2803,2021-07-29
2804,2021-07-30
2805,2021-07-31
2806,2021-08-01
2807,2021-08-02
2808,2021-08-03
2809,2021-08-04
2810,2021-08-05
2811,2021-08-06
2812,2021-08-07
2813,2021-08-08
2814,2021-08-09
2815,2021-08-10
2816,2021-08-11
2817,2021-08-12
2818,2021-08-13
2819,2021-08-14
2820,2021-08-15
2821,2021-08-16
2822,2021-08-17
2823,2021-08-18
2824,2021-08-19
2825,2021-08-20
2826,2021-08-21
2827,2021-08-22
2828,2021-08-23
2829,2021-08-24
2830,2021-08-25
2831,2021-08-26
2832,2021-08-27
2833,2021-08-28
2834,2021-08-29
2835,2021-08-30
2836,2021-08-31
2837,2021-09-01
2838,2021-09-02
2839,2021-09-03
2840,2021-09-04
2841,2021-09-05
2842,2021-09-06
2843,2021-09-07
2844,2021-09-08
2845,2021-09-09
2846,2021-09-10
2847,2021-09-11
2848,2021-09-12
2849,2021-09-13
2850,2021-09-14
2851,2021-09-15
2852,2021-09-16
2853,2021-09-17
2854,2021-09-18
2855,2021-09-19
2856,2021-09-20
2857,2021-09-21
2858,2021-09-22
2859,2021-09-23
2860,2021-09-24
2861,2021-09-25
2862,2021-09-26
2863,2021-09-27
2864,2021-09-28
2865,2021-09-29
2866,2021-09-30
2867,2021-10-01
2868,2021-10-02
2869,2021-10-03
2870,2021-10-04
2871,2021-10-05
2872,2021-10-06
2873,2021-10-07
2874,2021-10-08
2875,2021-10-09
2876,2021-10-10
2877,2021-10-11
2878,2021-10-12
2879,2021-10-13
2880,2021-10-14
2881,2021-10-15
2882,2021-10-16
